Date,Close,Volume
17/06/2014,15.59,58011600
16/06/2014,15.28,55425400
13/06/2014,15.44,61588100
12/06/2014,15.42,66173200
11/06/2014,15.59,73729300
10/06/2014,15.92,49852900
09/06/2014,15.84,78647900
06/06/2014,15.59,73930500
05/06/2014,15.43,60300500
04/06/2014,15.21,39757300
03/06/2014,15.21,49025400
02/06/2014,15.26,46374000
30/05/2014,15.14,45787100
29/05/2014,15.15,39423000
28/05/2014,15.14,72481700
27/05/2014,15.22,125398900
23/05/2014,14.72,51648900
22/05/2014,14.71,51929400
21/05/2014,14.61,64808600
20/05/2014,14.53,60108200
19/05/2014,14.67,51034700
16/05/2014,14.51,80476100
15/05/2014,14.55,104193000
14/05/2014,14.84,52431900
13/05/2014,15.03,58469100
12/05/2014,15.07,70669900
09/05/2014,14.74,86751600
08/05/2014,14.93,65232700
07/05/2014,14.8,91733000
06/05/2014,14.73,96268300
05/05/2014,15.08,51669100
02/05/2014,15.25,73562900
01/05/2014,15.09,68368300
30/04/2014,15.14,82359700
29/04/2014,15.24,155495000
28/04/2014,14.95,344935200
25/04/2014,15.95,84617700
24/04/2014,16.34,73910900
23/04/2014,16.370001,52425600
22/04/2014,16.290001,77888900
21/04/2014,16.09,51280500
17/04/2014,16.15,104765500
16/04/2014,16.129999,172948900
15/04/2014,16.389999,134956600
14/04/2014,16,99249400
11/04/2014,15.77,133757100
10/04/2014,16.120001,98390900
09/04/2014,16.620001,83096400
08/04/2014,16.440001,75769700
07/04/2014,16.379999,129464900
04/04/2014,16.719999,110409600
03/04/2014,17.15,56534500
02/04/2014,17.23,65349000
01/04/2014,17.34,57423800
31/03/2014,17.200001,62115800
28/03/2014,16.98,79909500
27/03/2014,17.01,175139500
26/03/2014,17.18,97573700
25/03/2014,17.209999,98348600
24/03/2014,17.370001,118500000
21/03/2014,17.559999,155721000
20/03/2014,17.92,167048700
19/03/2014,17.440001,105006500
18/03/2014,17.190001,67402400
17/03/2014,17.110001,79942200
14/03/2014,16.799999,131297200
13/03/2014,17.16,100875700
12/03/2014,17.280001,83309200
11/03/2014,17.27,90183400
10/03/2014,17.469999,81732700
07/03/2014,17.33,109547100
06/03/2014,17.35,138078900
05/03/2014,17.25,207180000
04/03/2014,16.73,100849900
03/03/2014,16.299999,87526800
28/02/2014,16.530001,126252100
27/02/2014,16.49,71314500
26/02/2014,16.33,89831600
25/02/2014,16.34,81457000
24/02/2014,16.530001,102909600
21/02/2014,16.290001,106236900
20/02/2014,16.299999,107425900
19/02/2014,16.200001,137734500
18/02/2014,16.469999,121778600
14/02/2014,16.700001,100684300
13/02/2014,16.75,95756900
12/02/2014,16.75,96948900
11/02/2014,16.879999,92617500
10/02/2014,16.719999,95792500
07/02/2014,16.82,122571100
06/02/2014,16.690001,110029100
05/02/2014,16.4,110576200
04/02/2014,16.35,125337000
03/02/2014,16.35,159981200
31/01/2014,16.75,139432100
30/01/2014,16.93,91028200
29/01/2014,16.68,130026900
28/01/2014,16.73,92891300
27/01/2014,16.309999,134872600
24/01/2014,16.450001,112899300
23/01/2014,16.860001,123765900
22/01/2014,17.15,68114400
21/01/2014,17.01,118269200
17/01/2014,17.01,96232200
16/01/2014,17.08,163613100
15/01/2014,17.15,329333100
14/01/2014,16.77,97786600
13/01/2014,16.43,90025400
10/01/2014,16.77,87454100
09/01/2014,16.83,100947200
08/01/2014,16.58,101036400
07/01/2014,16.5,110605100
06/01/2014,16.66,114431300
03/01/2014,16.41,129921800
02/01/2014,16.1,148709900
31/12/2013,15.57,57188900
30/12/2013,15.54,56218800
27/12/2013,15.67,40049300
26/12/2013,15.65,48803600
24/12/2013,15.7,21770400
23/12/2013,15.69,52565800
20/12/2013,15.6,131956000
19/12/2013,15.75,97776100
18/12/2013,15.69,152929300
17/12/2013,15.18,74247300
16/12/2013,15.24,71467000
